id,university_name
329,Jharkhand Raksha Shakti University
330,Jharkhand University of Technology
331,Kolhan University
332,Nilamber-Pitamber University
333,National University of Study & Research in Law
334,Netaji Subhas University
335,Pragyan International University
336,Radha Govind University
337,Ram Krishana Dharmarth Foundation University
338,Ramchandra Chandravansi University
339,Ranchi University
340,Sai Nath University
341,Sarla Birla University
342,Sido Kanhu Murmu University
343,Srinath University
344,The Institute of Chartered Financial Analysts of India University
345,Usha Martin University
346,Vinoba Bhave University
347,YBN University
348,Adichunchanagiri University
349,Alliance University
350,Atria University
351,Azim Premji University
352,B.L.D.E. Bijapur
353,Bangalore University
354,Bengaluru City University (Formerly Bengaluru Central University)
355,Bengaluru Dr. B.R. Ambedkar School of Economics University
356,Bengaluru North University
357,Central University of Karnataka
358,Christ
359,Chanakya University
360,CMR University
361,Davangere University
362,Dayananda Sagar University
363,Garden City University
364,Gulbarga University
365,Indian Institute of Science
366,JSS Academy of Higher Education & Research
367,Jain
368,JSS Science & Technology University
369,Jawaharlal Nehru Centre for Advanced Scientific Research
370,Karnataka Janapada Vishwavidyalaya
371,Kannada University
372,Karnataka State Law University
373,Karnataka State Open University
374,Karnataka State Rural Developoment and Panchayat Raj University
375,Karnataka State Women University
376,Karnataka University
377,Karnataka Veterinary
378,Karnataka Samskrit University
379,Karnataka Folklore University
380,Khaja Bandanawaz University
381,KLE Academy of Higher Education and Research
382,KLE Technological University
383,KSGH Music and Performing Arts University
384,Kuvempu University
385,Maharani Cluster University
386,Mandya University
387,Mangalore University
388,Manipal Academy of Higher Education
389,M.S. Ramaiah University of Applied Sciences
390,Nrupathunga University
391,National law School of India University
392,NITTE
393,P ES University
394,Presidency University Dibbur & Ittagalpura Village
395,Rai Technology University
396,Raichur University
397,Rajiv Gandhi University of Health Sciences
398,Rani Channamma University
399,Reva University
400,RV University
401,Sharnbasva University
402,Shri Dharmasthala Manjunatheshwara University
403,Sri Devraj Urs Academy of Higher Education and Research
404,Sri Sathya Sai University for Human Excellence
405,Sri Jagadhguru Murugarajendra University
406,Sri Siddhartha Academy of Higher Education
407,Srinivas University
408,Swami Vivekananda Yoga Anusandhana Sansthana
409,St. Joseph’s University
410,The University of Trans-Disciplinary Health Sciences and Technology
411,Tumkur University
412,University of Agricultural Sciences
413,University of Horticultural Sciences
414,University of Mysore
415,Vidyashilp University
416,Visveswaraiah Technological University
417,Vijayanagara Sri Krishnadevaraya University
418,Yenepoya
419,A.P.J. Abdul Kalam Technological University
420,Central University of Kerala
421,Chinmaya Vishwavidyapeeth
422,Cochin University of Science & Technology
423,Indian Institute of Space Science and Technology
424,Kannur University
425,Kerala Agricultural University
426,Kerala Kalamandalam
427,Kerala University of Digital Sciences Innovation and Technology
428,Kerala University of Fisheries & Ocean Studies
429,Kerala University of Health Sciences
430,Kerala Veterinary & Animal Sciences University
431,Mahatma Gandhi University
432,National University of Advanced Legal Studies (NUALS) NUALS 20 Campus
433,Shree Sankaracharya University of Sanskrit
434,Sreenarayanaguru Open University
435,Thunchath Ezhuthachan Malayalam University
436,University of Calicut
437,University of Kerala
438,A.K.S. University
439,Atal Bihari Vajpai Hindi Vishwavidyalaya
440,Avantika University
441,Awadesh Pratap Singh University
442,Barkatullah University
443,Bhabha University
444,Devi Ahilya Vishwavidyalaya
445,Dharmashastra National Law University
446,Dr. A.P.J. Abdul Kalam University
447,Dr. B.R. Ambedkar University of Social Sciences
448,Dr. Harisingh Gour Vishwavidyalaya
449,Eklavya University
450,G.H. Raisoni University
451,I.E.S University
452,Jagran Lakecity University
453,Jawaharlal Nehru Krishi Vishwavidyalaya
454,Jaypee University of Engineering & Technology
455,Jiwaji University
456,Lakshmibai National Institute of Physical Education
457,LNCT University
458,Madhya Pradesh Medical Science University
459,Madhyanchal Professional University
460,Mahakaushal University
461,Maharaja Chhatrasal Bundelkhand Vishwavidyalaya
462,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya
463,M.P.Bhoj (open) University
464,Maharishi Mahesh Yogi Vedic Vishwavidyalaya
465,Maharishi Panini Sanskrit Evam Vedic Vishwavidyalaya
466,Makhanlal Chaturvedi National University of Journalism and Communication
467,Malwanchal University
468,Mandsaur University
469,Mangalayatan University
470,Mansarovar Global University
471,Medi-Caps University
472,Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya
473,National Law Institute University
474,Oriental University
475,Pandit S.N. Shukla University
476,People’s University
477,P.K. University
478,Raja Mansingh Tomar Music & Arts University
479,Raja Shankar Shah University (Formerly Chhindwara University)
480,Rajiv Gandhi Proudyogiki Vishwavidyalaya
481,Rani Durgavati Vishwavidyalaya
482,RKDF University
483,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya
484,Rabindranath Tagore University (Formerly AISECT University) Village – Mendua
485,Renaissance University
486,Sage University
487,Sanjeev Agrawal Global Educational University
488,SAM Global University
489,Sanchi University of Buddhist-Indic Studies
490,Sarvepalli Radhakrishnan University
491,Shri Krishna University
492,Shri Vaishnav Vidyapeeth Vishwavidyalaya
493,Sri Aurobindo University
494,Sri Satya Sai University of Technology & Medical Sciences
495,Swami Vivekanand University
496,Symbiosis University of Applied Sciences
497,Techno Global University
498,The Indira Gandhi National Tribal University
499,Vikram University
500,Vikrant University
501,VIT Bhopal University
502,Ajeenkya D.Y. Patil University
503,ATLAS SKILLTECH UNIVERSITY
504,Bharati Vidyapeeth
505,Central Institute of Fisheries Education
506,Chhatrapati Shivaji Maharaj University
507,Dr. Homi Bhabha State University
508,D.Y. Patil Agriculture and Technical University
509,D.Y. Patil Educational Society
510,D.Y. Patil International University
511,D.Y. Patil University
512,Datta Meghe Institute of Higher Education & Research (Formerly Datta Meghe Institute of Medical Sciences)
513,Deccan College of Post-Graduate & Research Institute
514,Dr. Babasaheb Ambedkar Marathwada University
515,Dr. Babasaheb Ambedkar Technological University
516,Dr. D.Y. Patil Vidyapeeth
517,Dr. Punjabrao Deshmukh Krishi Vidyapeeth
518,Dr. Vishwanath Karad MIT World Peace University
519,Flame University
520,Gokhale Institute of Politics & Economics
521,Gondwana University
522,Homi Bhabha National Institute
523,Indira Gandhi Institute of Development Research
524,Defence Institute of Advanced Technology
525,Hyderabad (SIND) National Collegiate University
